Lead ID,Location,College,Year of Study,Program Interest,Lead Source
LD835,Ahmedabad,PQR College,2nd,AI,Instagram
LD836,Pune,DEF Academy,2nd,Data Science,Instagram
LD837,Chennai,PQR College,3rd,Web Development,Instagram
LD838,Mumbai,XYZ University,2nd,Web Development,Whatsapp
LD839,Chennai,XYZ University,2nd,Electric Vehicle,Whatsapp
LD840,Surat,GHI University,4th,Web Development,Instagram
LD841,Ahmedabad,PQR College,4th,Data Science,Instagram
LD842,Delhi,DEF Academy,3rd,Robotics,Mass-Mailing
LD843,Kolkata,ABC Institute,2nd,Web Development,College Collaboration
LD844,Kolkata,GHI University,3rd,Web Development,Whatsapp
LD845,Surat,XYZ University,4th,Data Science,LinkedIn
LD846,Mumbai,XYZ University,2nd,Electric Vehicle,Google Form
LD847,Mumbai,XYZ University,4th,Electric Vehicle,Mass-Mailing
LD848,Delhi,GHI University,3rd,Robotics,LinkedIn
LD849,Mumbai,DEF Academy,3rd,Robotics,Google Form
LD850,Mumbai,XYZ University,3rd,AI,Whatsapp
LD851,Kolkata,ABC Institute,4th,Data Science,Instagram
LD852,Surat,XYZ University,3rd,Data Science,College Collaboration
LD853,Chennai,XYZ University,4th,AI,Google Form
LD854,Kolkata,GHI University,4th,Electric Vehicle,LinkedIn
LD855,Mumbai,PQR College,2nd,AI,Google Form
LD856,Mumbai,XYZ University,3rd,Web Development,Mass-Mailing
LD857,Delhi,GHI University,2nd,AI,College Collaboration
LD858,Mumbai,DEF Academy,2nd,Electric Vehicle,Instagram
LD859,Ahmedabad,PQR College,2nd,Data Science,Mass-Mailing
LD860,Pune,GHI University,2nd,Web Development,LinkedIn
LD861,Mumbai,XYZ University,3rd,Data Science,LinkedIn
LD862,Mumbai,ABC Institute,1st,Web Development,LinkedIn
LD863,Mumbai,GHI University,2nd,AI,Google Form
LD864,Pune,XYZ University,4th,Data Science,Google Form
LD865,Ahmedabad,ABC Institute,1st,Electric Vehicle,Mass-Mailing
LD866,Delhi,ABC Institute,2nd,Web Development,College Collaboration
LD867,Ahmedabad,GHI University,4th,Web Development,Whatsapp
LD868,Pune,PQR College,1st,AI,LinkedIn
LD869,Mumbai,XYZ University,1st,AI,Mass-Mailing
LD870,Chennai,XYZ University,3rd,Electric Vehicle,Mass-Mailing
LD871,Pune,ABC Institute,3rd,Electric Vehicle,Whatsapp
LD872,Ahmedabad,PQR College,4th,AI,Whatsapp
LD873,Chennai,XYZ University,3rd,Robotics,College Collaboration
LD874,Delhi,DEF Academy,1st,Robotics,Mass-Mailing
LD875,Mumbai,DEF Academy,2nd,AI,Instagram
LD876,Surat,DEF Academy,4th,Web Development,Mass-Mailing
LD877,Ahmedabad,DEF Academy,4th,AI,Instagram
LD878,Mumbai,DEF Academy,1st,Electric Vehicle,Mass-Mailing
LD879,Surat,XYZ University,2nd,Data Science,LinkedIn
LD880,Pune,GHI University,4th,Electric Vehicle,Mass-Mailing
LD881,Surat,ABC Institute,2nd,AI,Instagram
LD882,Ahmedabad,DEF Academy,2nd,Web Development,LinkedIn
LD883,Chennai,PQR College,2nd,Electric Vehicle,LinkedIn
LD884,Pune,PQR College,4th,AI,Google Form
LD885,Mumbai,ABC Institute,3rd,AI,Whatsapp
LD886,Delhi,XYZ University,2nd,AI,Google Form
LD887,Mumbai,DEF Academy,4th,Robotics,LinkedIn
LD888,Ahmedabad,PQR College,2nd,Robotics,Google Form
LD889,Chennai,ABC Institute,3rd,Data Science,Mass-Mailing
LD890,Ahmedabad,DEF Academy,3rd,AI,Google Form
LD891,Surat,DEF Academy,1st,Data Science,Whatsapp
LD892,Pune,PQR College,2nd,Electric Vehicle,College Collaboration
LD893,Delhi,ABC Institute,1st,Electric Vehicle,Instagram
LD894,Pune,XYZ University,1st,Data Science,Mass-Mailing
LD895,Kolkata,DEF Academy,2nd,Electric Vehicle,College Collaboration
LD896,Mumbai,DEF Academy,3rd,Web Development,Google Form
LD897,Kolkata,DEF Academy,4th,Data Science,College Collaboration
LD898,Chennai,GHI University,1st,AI,Mass-Mailing
LD899,Surat,GHI University,1st,Electric Vehicle,Whatsapp
LD900,Pune,GHI University,4th,Robotics,Whatsapp
LD901,Pune,ABC Institute,1st,Data Science,Google Form
LD902,Chennai,GHI University,2nd,AI,LinkedIn
LD903,Chennai,GHI University,1st,Web Development,College Collaboration
LD904,Mumbai,ABC Institute,4th,Robotics,Instagram
LD905,Ahmedabad,XYZ University,3rd,Electric Vehicle,Instagram
LD906,Mumbai,PQR College,4th,Robotics,College Collaboration
LD907,Delhi,XYZ University,3rd,Web Development,LinkedIn
LD908,Delhi,PQR College,2nd,Electric Vehicle,Mass-Mailing
LD909,Surat,ABC Institute,4th,Electric Vehicle,LinkedIn
LD910,Ahmedabad,DEF Academy,4th,AI,Google Form
LD911,Chennai,GHI University,1st,AI,Whatsapp
LD912,Pune,GHI University,4th,AI,Whatsapp
LD913,Mumbai,ABC Institute,4th,Web Development,College Collaboration
LD914,Kolkata,XYZ University,3rd,Web Development,Google Form
LD915,Mumbai,ABC Institute,3rd,Web Development,Google Form
LD916,Surat,ABC Institute,4th,Electric Vehicle,Whatsapp
LD917,Delhi,GHI University,3rd,Electric Vehicle,Whatsapp
LD918,Ahmedabad,ABC Institute,3rd,AI,College Collaboration
LD919,Pune,XYZ University,4th,Web Development,College Collaboration
LD920,Mumbai,GHI University,2nd,Data Science,LinkedIn
LD921,Surat,PQR College,4th,Electric Vehicle,Mass-Mailing
LD922,Surat,PQR College,1st,Electric Vehicle,LinkedIn
LD923,Mumbai,PQR College,1st,AI,College Collaboration
LD924,Kolkata,DEF Academy,4th,Electric Vehicle,College Collaboration
LD925,Chennai,GHI University,1st,Web Development,College Collaboration
LD926,Surat,XYZ University,4th,Robotics,College Collaboration
LD927,Mumbai,DEF Academy,1st,Electric Vehicle,College Collaboration
LD928,Delhi,PQR College,2nd,AI,Instagram
LD929,Chennai,XYZ University,1st,AI,LinkedIn
LD930,Pune,ABC Institute,3rd,Robotics,College Collaboration
LD931,Delhi,ABC Institute,4th,Web Development,Whatsapp
LD932,Pune,GHI University,3rd,Electric Vehicle,LinkedIn
LD933,Surat,DEF Academy,2nd,Robotics,Whatsapp
LD934,Delhi,DEF Academy,4th,Robotics,Google Form
LD935,Mumbai,ABC Institute,2nd,Web Development,Mass-Mailing
LD936,Ahmedabad,GHI University,2nd,AI,Google Form
LD937,Mumbai,XYZ University,4th,AI,Instagram
LD938,Chennai,DEF Academy,1st,Web Development,Whatsapp
LD939,Mumbai,PQR College,3rd,Web Development,Instagram
LD940,Delhi,XYZ University,3rd,Electric Vehicle,College Collaboration
LD941,Surat,ABC Institute,1st,Web Development,LinkedIn
LD942,Pune,PQR College,4th,Robotics,Whatsapp
LD943,Surat,ABC Institute,1st,Web Development,Instagram
LD944,Pune,PQR College,3rd,Web Development,College Collaboration
LD945,Delhi,DEF Academy,1st,Web Development,College Collaboration
LD946,Surat,XYZ University,2nd,Data Science,Google Form
LD947,Chennai,GHI University,1st,AI,Instagram
LD948,Pune,PQR College,3rd,AI,Instagram
LD949,Ahmedabad,ABC Institute,3rd,Robotics,Instagram
LD950,Ahmedabad,PQR College,4th,Data Science,Whatsapp
LD951,Mumbai,GHI University,4th,AI,College Collaboration
LD952,Chennai,ABC Institute,2nd,Web Development,LinkedIn
LD953,Surat,PQR College,1st,AI,Instagram
LD954,Chennai,XYZ University,2nd,AI,Google Form
LD955,Kolkata,GHI University,3rd,Electric Vehicle,College Collaboration
LD956,Mumbai,ABC Institute,4th,AI,College Collaboration
LD957,Mumbai,PQR College,4th,Electric Vehicle,Mass-Mailing
LD958,Ahmedabad,PQR College,2nd,Data Science,College Collaboration
LD959,Chennai,XYZ University,1st,Data Science,Mass-Mailing
LD960,Kolkata,XYZ University,3rd,Robotics,Google Form
LD961,Delhi,DEF Academy,4th,AI,Instagram
LD962,Kolkata,ABC Institute,3rd,Electric Vehicle,Mass-Mailing
LD963,Delhi,DEF Academy,4th,Robotics,Google Form
LD964,Chennai,DEF Academy,4th,AI,College Collaboration
LD965,Pune,DEF Academy,4th,Robotics,College Collaboration
LD966,Delhi,XYZ University,4th,AI,Google Form
LD967,Ahmedabad,XYZ University,1st,Data Science,LinkedIn
LD968,Surat,ABC Institute,3rd,Electric Vehicle,Whatsapp
LD969,Ahmedabad,GHI University,1st,Data Science,Instagram
LD970,Chennai,DEF Academy,3rd,Web Development,LinkedIn
LD971,Chennai,PQR College,1st,AI,Whatsapp
LD972,Mumbai,ABC Institute,3rd,Electric Vehicle,College Collaboration
LD973,Ahmedabad,GHI University,3rd,Electric Vehicle,Mass-Mailing
LD974,Surat,PQR College,1st,Data Science,Google Form
LD975,Mumbai,GHI University,1st,Web Development,Mass-Mailing
LD976,Mumbai,ABC Institute,2nd,AI,Instagram
LD977,Ahmedabad,XYZ University,2nd,Robotics,LinkedIn
LD978,Ahmedabad,PQR College,4th,Data Science,Whatsapp
LD979,Kolkata,PQR College,3rd,Web Development,Google Form
LD980,Mumbai,XYZ University,3rd,Electric Vehicle,LinkedIn
LD981,Ahmedabad,GHI University,4th,Data Science,LinkedIn
LD982,Delhi,GHI University,3rd,Web Development,Google Form
LD983,Delhi,GHI University,1st,AI,Mass-Mailing
LD984,Surat,XYZ University,3rd,Robotics,Instagram
LD985,Kolkata,ABC Institute,1st,Web Development,Whatsapp
LD986,Chennai,GHI University,2nd,AI,Instagram
LD987,Delhi,DEF Academy,1st,AI,Instagram
LD988,Mumbai,ABC Institute,3rd,Robotics,Google Form
LD989,Surat,GHI University,1st,Electric Vehicle,Whatsapp
LD990,Mumbai,PQR College,1st,Robotics,Instagram
LD991,Surat,PQR College,2nd,Web Development,Mass-Mailing
LD992,Kolkata,DEF Academy,3rd,Electric Vehicle,Instagram
LD993,Delhi,ABC Institute,1st,Data Science,College Collaboration
LD994,Chennai,GHI University,4th,AI,Mass-Mailing
LD995,Kolkata,DEF Academy,4th,Data Science,Google Form
LD996,Ahmedabad,DEF Academy,2nd,Robotics,Google Form
LD997,Surat,DEF Academy,1st,Data Science,Whatsapp
LD998,Chennai,XYZ University,4th,Robotics,Instagram
LD999,Kolkata,XYZ University,3rd,Robotics,College Collaboration
LD1000,Mumbai,GHI University,4th,Web Development,Mass-Mailing
LD1001,Kolkata,DEF Academy,4th,Data Science,LinkedIn
LD1002,Delhi,XYZ University,2nd,AI,Google Form
LD1003,Delhi,XYZ University,1st,AI,Instagram
LD1004,Kolkata,DEF Academy,1st,Data Science,Mass-Mailing
LD1005,Kolkata,ABC Institute,1st,Electric Vehicle,Google Form
LD1006,Surat,GHI University,4th,Data Science,LinkedIn
LD1007,Kolkata,ABC Institute,3rd,Robotics,Whatsapp
LD1008,Ahmedabad,GHI University,2nd,Electric Vehicle,Mass-Mailing
LD1009,Surat,PQR College,1st,Robotics,Whatsapp
LD1010,Delhi,XYZ University,2nd,AI,Google Form
LD1011,Ahmedabad,XYZ University,1st,AI,LinkedIn
LD1012,Delhi,DEF Academy,4th,Data Science,Whatsapp
LD1013,Delhi,DEF Academy,2nd,Robotics,Whatsapp
LD1014,Delhi,XYZ University,2nd,Web Development,LinkedIn
LD1015,Chennai,PQR College,3rd,Robotics,Whatsapp
LD1016,Delhi,XYZ University,3rd,Robotics,Instagram
LD1017,Ahmedabad,XYZ University,4th,Electric Vehicle,Mass-Mailing
LD1018,Pune,DEF Academy,2nd,Robotics,Mass-Mailing
LD1019,Pune,XYZ University,3rd,Data Science,College Collaboration
LD1020,Chennai,GHI University,4th,Electric Vehicle,Google Form
LD1021,Chennai,GHI University,4th,Web Development,LinkedIn
LD1022,Ahmedabad,GHI University,4th,AI,Whatsapp
LD1023,Chennai,ABC Institute,3rd,Data Science,Google Form
LD1024,Chennai,ABC Institute,4th,AI,College Collaboration
LD1025,Chennai,DEF Academy,2nd,AI,Instagram
LD1026,Delhi,GHI University,4th,Electric Vehicle,LinkedIn
LD1027,Surat,ABC Institute,3rd,Electric Vehicle,College Collaboration
LD1028,Pune,DEF Academy,4th,Web Development,College Collaboration
LD1029,Delhi,ABC Institute,3rd,Web Development,Instagram
LD1030,Pune,DEF Academy,3rd,Robotics,Google Form
LD1031,Surat,DEF Academy,4th,Electric Vehicle,College Collaboration
LD1032,Chennai,PQR College,2nd,AI,College Collaboration
LD1033,Ahmedabad,PQR College,3rd,Robotics,Instagram
LD1034,Mumbai,DEF Academy,1st,Electric Vehicle,Mass-Mailing
LD1035,Mumbai,PQR College,2nd,Web Development,College Collaboration
LD1036,Pune,XYZ University,4th,AI,Google Form
LD1037,Chennai,XYZ University,4th,Web Development,Instagram
LD1038,Pune,XYZ University,4th,Electric Vehicle,LinkedIn
LD1039,Surat,XYZ University,2nd,Robotics,Mass-Mailing
LD1040,Pune,XYZ University,2nd,AI,Instagram
LD1041,Surat,GHI University,1st,AI,Whatsapp
LD1042,Mumbai,ABC Institute,1st,Web Development,College Collaboration
LD1043,Pune,GHI University,1st,Web Development,Whatsapp
LD1044,Kolkata,GHI University,1st,Robotics,Instagram
LD1045,Surat,PQR College,2nd,Web Development,Instagram
LD1046,Mumbai,ABC Institute,4th,Electric Vehicle,Whatsapp
LD1047,Kolkata,PQR College,2nd,Data Science,College Collaboration
LD1048,Kolkata,PQR College,2nd,Robotics,Whatsapp
LD1049,Delhi,DEF Academy,3rd,Web Development,LinkedIn
LD1050,Ahmedabad,ABC Institute,2nd,Web Development,Whatsapp
LD1051,Delhi,PQR College,1st,Data Science,Mass-Mailing
LD1052,Surat,DEF Academy,2nd,Robotics,Instagram
LD1053,Ahmedabad,PQR College,3rd,AI,Whatsapp
LD1054,Kolkata,XYZ University,4th,Web Development,Whatsapp
LD1055,Pune,PQR College,2nd,Data Science,Google Form
LD1056,Delhi,XYZ University,2nd,Robotics,Instagram
LD1057,Ahmedabad,PQR College,4th,Web Development,Mass-Mailing
LD1058,Mumbai,GHI University,3rd,Web Development,Mass-Mailing
LD1059,Kolkata,ABC Institute,4th,Robotics,Mass-Mailing
LD1060,Mumbai,DEF Academy,2nd,Web Development,Instagram
LD1061,Ahmedabad,ABC Institute,1st,Electric Vehicle,Google Form
LD1062,Mumbai,ABC Institute,2nd,Data Science,Mass-Mailing
LD1063,Mumbai,XYZ University,1st,AI,Google Form
LD1064,Ahmedabad,GHI University,1st,Electric Vehicle,Instagram
LD1065,Chennai,XYZ University,1st,Data Science,Mass-Mailing
LD1066,Ahmedabad,GHI University,3rd,Robotics,Google Form
LD1067,Ahmedabad,DEF Academy,4th,Electric Vehicle,Mass-Mailing
LD1068,Kolkata,GHI University,4th,Data Science,Instagram
LD1069,Surat,PQR College,4th,Robotics,Google Form
LD1070,Kolkata,XYZ University,1st,Web Development,Whatsapp
LD1071,Pune,DEF Academy,1st,Data Science,Google Form
LD1072,Ahmedabad,XYZ University,3rd,Web Development,Whatsapp
LD1073,Ahmedabad,DEF Academy,3rd,Electric Vehicle,Google Form
LD1074,Mumbai,GHI University,1st,Robotics,LinkedIn
LD1075,Surat,ABC Institute,4th,Electric Vehicle,Instagram
LD1076,Pune,XYZ University,4th,Data Science,Whatsapp
LD1077,Surat,XYZ University,3rd,AI,Instagram
LD1078,Mumbai,PQR College,4th,Electric Vehicle,Instagram
LD1079,Surat,XYZ University,4th,Web Development,College Collaboration
LD1080,Delhi,ABC Institute,3rd,AI,Mass-Mailing
LD1081,Chennai,DEF Academy,4th,Web Development,Whatsapp
LD1082,Pune,PQR College,2nd,Robotics,Google Form
LD1083,Surat,ABC Institute,2nd,Electric Vehicle,LinkedIn
LD1084,Mumbai,GHI University,3rd,Robotics,LinkedIn
LD1085,Pune,XYZ University,3rd,AI,Google Form
LD1086,Ahmedabad,PQR College,4th,Data Science,Mass-Mailing
LD1087,Kolkata,ABC Institute,4th,Web Development,Whatsapp
LD1088,Delhi,PQR College,3rd,AI,Mass-Mailing
LD1089,Pune,GHI University,3rd,AI,LinkedIn
LD1090,Surat,XYZ University,3rd,AI,Mass-Mailing
LD1091,Kolkata,GHI University,3rd,AI,College Collaboration
LD1092,Surat,PQR College,1st,Web Development,Whatsapp
LD1093,Delhi,GHI University,2nd,Web Development,College Collaboration
LD1094,Mumbai,DEF Academy,2nd,Data Science,Google Form
LD1095,Surat,PQR College,2nd,Data Science,LinkedIn
LD1096,Kolkata,ABC Institute,3rd,Electric Vehicle,Mass-Mailing
LD1097,Kolkata,PQR College,3rd,Web Development,Whatsapp
LD1098,Kolkata,PQR College,4th,Electric Vehicle,College Collaboration
LD1099,Chennai,XYZ University,2nd,AI,Whatsapp
LD1100,Ahmedabad,DEF Academy,4th,Robotics,LinkedIn
LD1101,Surat,DEF Academy,2nd,Electric Vehicle,Whatsapp
LD1102,Chennai,GHI University,3rd,Web Development,LinkedIn
LD1103,Chennai,GHI University,3rd,Robotics,Instagram
LD1104,Mumbai,PQR College,3rd,Web Development,College Collaboration
LD1105,Surat,DEF Academy,4th,AI,College Collaboration
LD1106,Kolkata,ABC Institute,2nd,Data Science,Google Form
LD1107,Delhi,GHI University,3rd,AI,LinkedIn
LD1108,Mumbai,XYZ University,2nd,Data Science,Mass-Mailing
LD1109,Chennai,GHI University,2nd,AI,Instagram
LD1110,Chennai,GHI University,3rd,Data Science,Google Form
LD1111,Mumbai,PQR College,2nd,Web Development,Google Form
LD1112,Pune,XYZ University,2nd,AI,College Collaboration
LD1113,Delhi,DEF Academy,1st,Robotics,Instagram
LD1114,Surat,PQR College,4th,Electric Vehicle,LinkedIn
LD1115,Kolkata,ABC Institute,4th,Web Development,College Collaboration
LD1116,Delhi,XYZ University,1st,Robotics,Google Form
LD1117,Delhi,GHI University,2nd,Robotics,Google Form
LD1118,Kolkata,ABC Institute,3rd,Robotics,Mass-Mailing
LD1119,Chennai,PQR College,3rd,Electric Vehicle,Whatsapp
LD1120,Kolkata,DEF Academy,4th,Data Science,Mass-Mailing
LD1121,Ahmedabad,PQR College,4th,Electric Vehicle,Whatsapp
LD1122,Ahmedabad,ABC Institute,1st,AI,College Collaboration
LD1123,Delhi,ABC Institute,1st,Robotics,Mass-Mailing
LD1124,Surat,DEF Academy,1st,Robotics,Whatsapp
LD1125,Kolkata,DEF Academy,2nd,Data Science,Google Form
LD1126,Surat,GHI University,2nd,Electric Vehicle,Whatsapp
LD1127,Chennai,GHI University,4th,Data Science,College Collaboration
LD1128,Chennai,XYZ University,4th,AI,College Collaboration
LD1129,Kolkata,ABC Institute,3rd,Web Development,Instagram
LD1130,Kolkata,GHI University,4th,Electric Vehicle,College Collaboration
LD1131,Chennai,ABC Institute,1st,Electric Vehicle,Whatsapp
LD1132,Kolkata,PQR College,2nd,Electric Vehicle,Google Form
LD1133,Pune,DEF Academy,3rd,AI,Mass-Mailing
LD1134,Kolkata,PQR College,2nd,Data Science,Google Form
LD1135,Pune,PQR College,1st,Data Science,LinkedIn
LD1136,Mumbai,ABC Institute,3rd,AI,Google Form
LD1137,Surat,GHI University,3rd,Robotics,Whatsapp
LD1138,Kolkata,PQR College,2nd,Electric Vehicle,Whatsapp
LD1139,Mumbai,GHI University,2nd,Data Science,LinkedIn
LD1140,Surat,DEF Academy,2nd,Electric Vehicle,LinkedIn
LD1141,Chennai,DEF Academy,2nd,Data Science,Google Form
LD1142,Mumbai,GHI University,1st,Robotics,Whatsapp
LD1143,Delhi,PQR College,4th,Robotics,College Collaboration
LD1144,Delhi,DEF Academy,4th,Electric Vehicle,Whatsapp
LD1145,Delhi,DEF Academy,1st,AI,LinkedIn
LD1146,Surat,DEF Academy,2nd,AI,Instagram
LD1147,Mumbai,GHI University,1st,Electric Vehicle,Mass-Mailing
LD1148,Mumbai,PQR College,1st,Web Development,LinkedIn
LD1149,Mumbai,PQR College,1st,Electric Vehicle,Whatsapp
LD1150,Chennai,ABC Institute,2nd,AI,Mass-Mailing
LD1151,Surat,GHI University,2nd,Data Science,Whatsapp
LD1152,Pune,GHI University,1st,AI,Mass-Mailing
LD1153,Pune,DEF Academy,4th,Web Development,College Collaboration
LD1154,Pune,XYZ University,4th,Data Science,Instagram
LD1155,Chennai,GHI University,3rd,Data Science,Mass-Mailing
LD1156,Surat,XYZ University,3rd,AI,Whatsapp
LD1157,Chennai,DEF Academy,2nd,Electric Vehicle,College Collaboration
LD1158,Mumbai,PQR College,2nd,Data Science,LinkedIn
LD1159,Mumbai,ABC Institute,3rd,Data Science,Instagram
LD1160,Pune,XYZ University,2nd,Robotics,Mass-Mailing
LD1161,Chennai,PQR College,2nd,Web Development,LinkedIn
LD1162,Ahmedabad,ABC Institute,3rd,Data Science,Instagram
LD1163,Chennai,PQR College,2nd,AI,College Collaboration
LD1164,Pune,GHI University,2nd,Data Science,Mass-Mailing
LD1165,Delhi,XYZ University,3rd,AI,Google Form
LD1166,Delhi,DEF Academy,3rd,Electric Vehicle,Instagram
LD1167,Pune,PQR College,3rd,Electric Vehicle,College Collaboration
LD1168,Mumbai,DEF Academy,1st,Electric Vehicle,LinkedIn
LD1169,Pune,PQR College,1st,Electric Vehicle,Whatsapp
LD1170,Surat,GHI University,3rd,Electric Vehicle,Whatsapp
LD1171,Kolkata,DEF Academy,2nd,Electric Vehicle,Instagram
LD1172,Kolkata,PQR College,1st,Web Development,Google Form
LD1173,Chennai,XYZ University,4th,Data Science,LinkedIn
LD1174,Kolkata,GHI University,4th,Electric Vehicle,Google Form
LD1175,Kolkata,DEF Academy,3rd,Robotics,College Collaboration
LD1176,Surat,PQR College,3rd,Web Development,LinkedIn
LD1177,Ahmedabad,ABC Institute,1st,AI,Google Form
LD1178,Surat,XYZ University,1st,Data Science,Whatsapp
LD1179,Chennai,GHI University,1st,Data Science,LinkedIn
LD1180,Pune,PQR College,4th,Electric Vehicle,College Collaboration
LD1181,Kolkata,PQR College,1st,Robotics,Mass-Mailing
LD1182,Pune,GHI University,4th,AI,Whatsapp
LD1183,Surat,XYZ University,1st,Data Science,College Collaboration
LD1184,Surat,XYZ University,2nd,Electric Vehicle,Whatsapp
LD1185,Chennai,XYZ University,4th,Data Science,Whatsapp
LD1186,Kolkata,GHI University,2nd,Data Science,Google Form
LD1187,Delhi,PQR College,4th,AI,Whatsapp
LD1188,Ahmedabad,XYZ University,1st,Electric Vehicle,Google Form
LD1189,Mumbai,ABC Institute,4th,Electric Vehicle,Whatsapp
LD1190,Pune,GHI University,1st,Robotics,College Collaboration
LD1191,Pune,DEF Academy,1st,Data Science,Whatsapp
LD1192,Mumbai,GHI University,3rd,Web Development,LinkedIn
LD1193,Ahmedabad,ABC Institute,4th,Electric Vehicle,Google Form
LD1194,Surat,PQR College,3rd,Web Development,Instagram
LD1195,Kolkata,DEF Academy,4th,Robotics,College Collaboration
LD1196,Kolkata,XYZ University,1st,Web Development,Google Form
LD1197,Surat,XYZ University,3rd,AI,Google Form
LD1198,Kolkata,XYZ University,1st,Data Science,Google Form
LD1199,Pune,PQR College,1st,Robotics,Google Form
LD1200,Pune,PQR College,1st,AI,LinkedIn
LD1201,Kolkata,PQR College,4th,Electric Vehicle,Mass-Mailing
LD1202,Surat,DEF Academy,1st,Data Science,LinkedIn
LD1203,Delhi,PQR College,1st,Web Development,College Collaboration
LD1204,Pune,XYZ University,1st,Data Science,College Collaboration
LD1205,Ahmedabad,PQR College,1st,Electric Vehicle,LinkedIn
LD1206,Ahmedabad,GHI University,1st,Data Science,Mass-Mailing
LD1207,Surat,XYZ University,3rd,Electric Vehicle,LinkedIn
LD1208,Surat,GHI University,1st,AI,College Collaboration
LD1209,Kolkata,DEF Academy,2nd,AI,Whatsapp
LD1210,Pune,DEF Academy,1st,Web Development,Google Form
LD1211,Mumbai,GHI University,4th,Robotics,College Collaboration
LD1212,Kolkata,PQR College,4th,Electric Vehicle,LinkedIn
LD1213,Surat,DEF Academy,1st,Data Science,College Collaboration
LD1214,Surat,ABC Institute,4th,AI,Instagram
LD1215,Ahmedabad,GHI University,1st,Web Development,Mass-Mailing
LD1216,Ahmedabad,PQR College,2nd,Data Science,LinkedIn
LD1217,Kolkata,GHI University,1st,Data Science,Whatsapp
LD1218,Pune,ABC Institute,2nd,Web Development,LinkedIn
LD1219,Delhi,PQR College,4th,Robotics,College Collaboration
LD1220,Mumbai,GHI University,2nd,Data Science,LinkedIn
LD1221,Ahmedabad,XYZ University,4th,Robotics,Mass-Mailing
LD1222,Kolkata,PQR College,2nd,Electric Vehicle,Whatsapp
LD1223,Surat,ABC Institute,2nd,Web Development,Instagram
LD1224,Kolkata,PQR College,2nd,Web Development,College Collaboration
LD1225,Chennai,GHI University,1st,Electric Vehicle,College Collaboration
LD1226,Ahmedabad,GHI University,2nd,Data Science,LinkedIn
LD1227,Surat,XYZ University,3rd,Web Development,College Collaboration
LD1228,Chennai,GHI University,4th,Electric Vehicle,LinkedIn
LD1229,Chennai,GHI University,4th,Electric Vehicle,Whatsapp
LD1230,Kolkata,PQR College,1st,Electric Vehicle,Google Form
LD1231,Mumbai,XYZ University,3rd,Web Development,Mass-Mailing
LD1232,Delhi,PQR College,1st,Web Development,Google Form
LD1233,Kolkata,PQR College,4th,AI,LinkedIn
LD1234,Kolkata,DEF Academy,1st,Web Development,Whatsapp
LD1235,Ahmedabad,PQR College,4th,AI,Mass-Mailing
LD1236,Pune,XYZ University,1st,Web Development,LinkedIn
LD1237,Ahmedabad,DEF Academy,3rd,Data Science,Instagram
LD1238,Mumbai,PQR College,1st,Web Development,LinkedIn
LD1239,Surat,PQR College,1st,Electric Vehicle,Mass-Mailing
LD1240,Pune,ABC Institute,2nd,Data Science,LinkedIn
LD1241,Delhi,XYZ University,2nd,Data Science,LinkedIn
LD1242,Delhi,XYZ University,1st,Web Development,College Collaboration
LD1243,Pune,ABC Institute,4th,Electric Vehicle,Instagram
LD1244,Delhi,GHI University,4th,Electric Vehicle,LinkedIn
LD1245,Chennai,XYZ University,3rd,Electric Vehicle,Google Form
LD1246,Ahmedabad,XYZ University,4th,AI,Instagram
LD1247,Mumbai,ABC Institute,4th,Robotics,Whatsapp
LD1248,Delhi,DEF Academy,1st,Web Development,Mass-Mailing
LD1249,Kolkata,XYZ University,2nd,AI,Whatsapp
LD1250,Chennai,GHI University,3rd,Data Science,LinkedIn
LD1251,Delhi,DEF Academy,4th,AI,Instagram
LD1252,Ahmedabad,DEF Academy,4th,Web Development,Google Form
LD1253,Delhi,XYZ University,4th,Web Development,Instagram
LD1254,Surat,PQR College,4th,AI,Whatsapp
LD1255,Delhi,ABC Institute,2nd,Robotics,Google Form
LD1256,Mumbai,PQR College,4th,AI,Whatsapp
LD1257,Delhi,GHI University,2nd,Web Development,Mass-Mailing
LD1258,Chennai,ABC Institute,2nd,Electric Vehicle,LinkedIn
LD1259,Chennai,ABC Institute,3rd,AI,Google Form
LD1260,Pune,DEF Academy,4th,Robotics,Google Form
LD1261,Mumbai,ABC Institute,2nd,Data Science,College Collaboration
LD1262,Mumbai,DEF Academy,4th,Web Development,Mass-Mailing
LD1263,Kolkata,GHI University,4th,AI,Instagram
LD1264,Delhi,PQR College,3rd,Web Development,LinkedIn
LD1265,Kolkata,PQR College,4th,AI,Google Form
LD1266,Delhi,PQR College,3rd,AI,Instagram
LD1267,Chennai,DEF Academy,2nd,Data Science,Whatsapp
LD1268,Surat,PQR College,2nd,Electric Vehicle,Google Form
LD1269,Chennai,ABC Institute,1st,AI,Google Form
LD1270,Pune,ABC Institute,1st,Web Development,College Collaboration
LD1271,Delhi,XYZ University,2nd,Electric Vehicle,Whatsapp
LD1272,Mumbai,PQR College,4th,AI,Instagram
LD1273,Delhi,DEF Academy,1st,Data Science,Google Form
LD1274,Mumbai,DEF Academy,1st,Robotics,Google Form
LD1275,Surat,PQR College,4th,AI,LinkedIn
LD1276,Surat,DEF Academy,3rd,Robotics,College Collaboration
LD1277,Chennai,ABC Institute,1st,AI,Google Form
